Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
AAPL,Consumer Electronics,Technology,56888032,51655080,3027145850880
MSFT,Software—Infrastructure,Technology,27240886,22059840,2513121050624
GOOGL,Internet Content & Information,Communication Services,33547881,28691700,1526830596096
AMZN,Internet Retail,Consumer Cyclical,62919518,55355370,1336109301760
NVDA,Semiconductors,Technology,47680777,44952090,1047601152000
TSLA,Auto Manufacturers,Consumer Cyclical,138546314,158883480,886889512960
META,Internet Content & Information,Communication Services,22693681,22057340,732991979520
AVGO,Semiconductors,Technology,2841186,2329380,361693642752
ASML,Semiconductor Equipment & Materials,Technology,968265,819530,291939680256
PEP,Beverages—Non-Alcoholic,Consumer Defensive,4455596,4922310,255699271680
COST,Discount Stores,Consumer Defensive,1797631,1399810,239760785408
ADBE,Software—Infrastructure,Technology,3774995,3422420,222565826560
CSCO,Communication Equipment,Technology,18663249,14578300,211169607680
AZN,Drug Manufacturers—General,Healthcare,4327119,5481560,202258022400
NFLX,Entertainment,Communication Services,6831285,5734270,196238180352
AMD,Semiconductors,Technology,67860159,62499960,186511900672
CMCSA,Telecom Services,Communication Services,18549680,14449840,174090338304
TMUS,Telecom Services,Communication Services,6525555,4527550,167180681216
TXN,Semiconductors,Technology,4914739,4599910,163159883776
INTC,Semiconductors,Technology,43691336,42264580,140229017600
HON,Conglomerates,Industrials,2375136,2278450,138660511744
SNY,Drug Manufacturers—General,Healthcare,1488627,1397170,134094307328
QCOM,Semiconductors,Technology,8138447,7324730,133780258816
INTU,Software—Application,Technology,1791914,1374830,126466695168
AMAT,Semiconductor Equipment & Materials,Technology,5825744,5311220,122157998080
AMGN,Drug Manufacturers—General,Healthcare,2335091,2423080,120228913152
ISRG,Medical Instruments & Supplies,Healthcare,1566401,1330260,117744246784
SBUX,Restaurants,Consumer Cyclical,6566132,6822520,113665564672
BKNG,Travel Services,Consumer Cyclical,318008,265340,100488839168
MDLZ,Confectioners,Consumer Defensive,5944524,6342040,100109598720
ADI,Semiconductors,Technology,3415467,3180040,97440555008
GILD,Drug Manufacturers—General,Healthcare,5487819,4943120,95690448896
PDD,Internet Retail,Consumer Cyclical,8813857,7218670,94715174912
ADP,Staffing & Employment Services,Industrials,1687072,1522980,90362396672
VRTX,Biotechnology,Healthcare,1241634,1218810,89517350912
LRCX,Semiconductor Equipment & Materials,Technology,1336162,1110420,87453999104
ABNB,Travel Services,Consumer Cyclical,6605400,4795300,83414253568
PANW,Software—Infrastructure,Technology,5480726,4872350,77882916864
REGN,Biotechnology,Healthcare,583998,866660,78781652992
PYPL,Credit Services,Financial Services,17316809,18417080,75979849728
EQIX,REIT—Specialty,Real Estate,453173,577090,73262407680
MU,Semiconductors,Technology,18292426,19979030,69931524096
CSX,Railroads,Industrials,12085732,8474820,69814935552
CME,Financial Data & Stock Exchanges,Financial Services,1444608,1452380,66965106688
KLAC,Semiconductor Equipment & Materials,Technology,1019481,740980,66516824064
SNPS,Software—Infrastructure,Technology,978313,1147180,66038964224
ATVI,Electronic Gaming & Multimedia,Communication Services,7515618,6320410,65518485504
CDNS,Software—Application,Technology,1950922,2354760,64189812736
NTES,Electronic Gaming & Multimedia,Communication Services,1189354,1180310,64532824064
MELI,Internet Retail,Consumer Cyclical,426488,467870,59935322112
MNST,Beverages—Non-Alcoholic,Consumer Defensive,4151391,3943980,59610136576
FTNT,Software—Infrastructure,Technology,5071549,5630420,58622738432
WDAY,Software—Application,Technology,2081768,1855550,58617987072
ORLY,Specialty Retail,Consumer Cyclical,439711,458030,57657188352
MAR,Lodging,Consumer Cyclical,1698231,1542770,55886901248
CHTR,Telecom Services,Communication Services,1076793,1211580,55441719296
JD,Internet Retail,Consumer Cyclical,11329457,9917550,55062474752
NXPI,Semiconductors,Technology,2218181,1782550,53800570880
MRVL,Semiconductors,Technology,15081650,11685660,52760997888
BIDU,Internet Content & Information,Communication Services,2588900,2032750,50279591936
CTAS,Specialty Business Services,Industrials,334572,352460,49572605952
MCHP,Semiconductors,Technology,4873849,3998780,49460875264
DXCM,Medical Devices,Healthcare,2490601,2485080,49237524480
LULU,Apparel Retail,Consumer Cyclical,1620759,1264270,48209731584
MRNA,Biotechnology,Healthcare,3319667,2688170,46404571136
KDP,Beverages—Non-Alcoholic,Consumer Defensive,9058604,7874130,44176953344
KHC,Packaged Foods,Consumer Defensive,7143014,7439160,43947462656
AEP,Utilities—Regulated Electric,Utilities,2760477,3589430,43921969152
PCAR,Farm & Heavy Construction Machinery,Industrials,2672531,2031430,43708506112
ADSK,Software—Application,Technology,1438731,1492700,43535986688
CPRT,Specialty Business Services,Industrials,2183854,2238920,43088961536
TEAM,Software—Application,Technology,2041086,1420910,43071803392
ON,Semiconductors,Technology,6769057,5139280,41818263552
BIIB,Drug Manufacturers—General,Healthcare,1003275,880460,41315155968
EXC,Utilities—Regulated Electric,Utilities,6380559,4886230,40827056128
IDXX,Diagnostics & Research,Healthcare,400116,426070,40637587456
ODFL,Trucking,Industrials,841700,924180,40337682432
PAYX,Staffing & Employment Services,Industrials,2134539,2069980,40185937920
TTD,Software—Application,Technology,3604244,2769070,37861429248
ROST,Apparel Retail,Consumer Cyclical,2280132,2486820,37857099776
GEHC,Health Information Services,Healthcare,3016950,3125400,36687888384
SGEN,Biotechnology,Healthcare,1455072,1236490,36467482624
CSGP,Real Estate Services,Real Estate,2732503,7144530,35751247872
GFS,Semiconductors,Technology,1423111,1210320,35743985664
EA,Electronic Gaming & Multimedia,Communication Services,2031416,1883270,35611951104
LI,Auto Manufacturers,Consumer Cyclical,7307681,5891830,35471523840
IBKR,Capital Markets,Financial Services,847839,767110,34881994752
XEL,Utilities—Regulated Electric,Utilities,3059801,3315800,34661416960
CRWD,Software—Infrastructure,Technology,3985570,3009650,34608283648
FAST,Industrial Distribution,Industrials,3145368,2728560,33354561536
CTSH,Information Technology Services,Technology,3614470,3857880,33270190080
DLTR,Discount Stores,Consumer Defensive,2231165,2699810,32500174848
VRSK,Consulting Services,Industrials,1085900,1256640,32215998464
MBLY,Auto Parts,Consumer Cyclical,3398490,3008250,32073406464
BKR,Oil & Gas Equipment & Services,Energy,6723700,5973220,32211775488
WBD,Entertainment,Communication Services,22341937,25268420,31693793280
DDOG,Software—Application,Technology,4924927,3426510,31637094400
CCEP,Beverages—Non-Alcoholic,Consumer Defensive,1072265,941830,29911848960
ILMN,Diagnostics & Research,Healthcare,1384734,1915000,29741770752
CEG,Utilities—Renewable,Utilities,2235539,2107610,29716047872
MDB,Software—Infrastructure,Technology,1933419,2084880,29038600192
ANSS,Software—Application,Technology,451245,422720,28333912064
ACGL,Insurance—Diversified,Financial Services,1853022,1737910,27555577856
ALGN,Medical Devices,Healthcare,711319,597770,26366992384
BNTX,Biotechnology,Healthcare,675950,496400,25983541248
MPWR,Semiconductors,Technology,599657,419670,25730297856
VOD,Telecom Services,Communication Services,5706439,5371930,25671579648
TROW,Asset Management,Financial Services,1276785,1213200,25435025408
SBAC,REIT—Specialty,Real Estate,762873,974580,25354575872
RYAAY,Airlines,Industrials,428047,578220,25281470464
WBA,Pharmaceutical Retailers,Healthcare,8309657,15585920,25051834368
TTWO,Electronic Gaming & Multimedia,Communication Services,1729013,1600830,25015711744
GMAB,Biotechnology,Healthcare,395906,466680,24908941312
WTW,Insurance Brokers,Financial Services,515913,620040,24845305856
CDW,Information Technology Services,Technology,985144,793870,24695674880
NDAQ,Financial Data & Stock Exchanges,Financial Services,3240901,3962220,24391020544
TSCO,Specialty Retail,Consumer Cyclical,1236511,1297610,24217815040
SYM,Specialty Industrial Machinery,Industrials,856857,1166120,24206946304
EBAY,Internet Retail,Consumer Cyclical,4700062,4153020,24186152960
FANG,Oil & Gas E&P,Energy,1823495,1611180,23895353344
ULTA,Specialty Retail,Consumer Cyclical,968939,791840,23772794880
ALNY,Biotechnology,Healthcare,650019,671550,23621337088
HZNP,Drug Manufacturers—General,Healthcare,2299772,1608110,23566356480
ENPH,Solar,Technology,3919131,3895080,23235811328
VRSN,Software—Infrastructure,Technology,435775,415630,23204040704
TCOM,Travel Services,Consumer Cyclical,4831173,3331720,22891393024
ZS,Software—Infrastructure,Technology,3026593,1587190,21386162176
ARGX,Biotechnology,Healthcare,208975,164260,21395419136
FSLR,Solar,Technology,2458742,1616940,20445427712
ZM,Software—Application,Technology,4293334,2983140,20319348736
ICLR,Diagnostics & Research,Healthcare,749452,1256330,19911059456
PODD,Medical Devices,Healthcare,571521,578790,19753879552
HOLX,Medical Instruments & Supplies,Healthcare,1430629,1317020,19715837952
BGNE,Biotechnology,Healthcare,220450,305270,19584428032
JBHT,Integrated Freight & Logistics,Industrials,723516,736250,18906431488
COIN,Financial Data & Stock Exchanges,Financial Services,15231409,20203170,18748540928
STLD,Steel,Basic Materials,1673396,1351710,18725586944
FCNCA,Banks—Regional,Financial Services,159367,95330,18601691136
PFG,Asset Management,Financial Services,1399029,1034560,18594136064
EXPD,Integrated Freight & Logistics,Industrials,1234809,961880,18593259520
RIVN,Auto Manufacturers,Consumer Cyclical,27409749,38927350,18373392384
FITB,Banks—Regional,Financial Services,6997308,4508800,18215960576
ERIC,Communication Equipment,Technology,8991577,8341160,18345121792
UAL,Airlines,Industrials,7023562,6454670,18057973760
SIRI,Entertainment,Communication Services,16660567,20005580,17910693888
SWKS,Semiconductors,Technology,1887439,1491810,17777614848
FWONA,Entertainment,Communication Services,100755,120400,17678528512
SPLK,Software—Infrastructure,Technology,1411908,1152810,17477425152
TER,Semiconductor Equipment & Materials,Technology,1687052,1697590,17291499520
