Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
DDD,Computer Hardware,Technology,1233847,1437880,1299746048
MMM,Conglomerates,Industrials,3585593,3873250,55796105216
EGHT,Software—Application,Technology,1684647,1735390,512001600
AOS,Specialty Industrial Machinery,Industrials,1041559,740390,10887487488
ATEN,Software—Infrastructure,Technology,678511,649970,1056260160
AAC,Shell Companies,Financial Services,391903,1411670,760289472
AIR,Aerospace & Defense,Industrials,152211,164760,2001888256
AAN,Rental & Leasing Services,Industrials,317022,201480,450030688
ABB,Electrical Equipment & Parts,Industrials,1657499,1619271,69020590080
ABT,Medical Devices,Healthcare,4935195,4714800,186450214912
ABBV,Drug Manufacturers—General,Healthcare,5729559,6047160,238196785152
ANF,Apparel Retail,Consumer Cyclical,1760055,1490130,1866923904
JEQ,Asset Management,Financial Services,37162,32840,82960000
ABM,Specialty Business Services,Industrials,348098,445160,2815835136
AKR,REIT—Retail,Real Estate,714654,719840,1520487808
ACN,Information Technology Services,Technology,2675670,2911710,196316282880
ACCO,Business Equipment & Supplies,Industrials,528255,508360,512553984
GOLF,Leisure,Consumer Cyclical,334616,413120,3706318080
AYI,Electrical Equipment & Parts,Industrials,368926,528730,5190118400
ADX,Asset Management,Financial Services,135455,110120,2044122112
AGRO,Farm Products,Consumer Defensive,619477,406320,1020455616
ADPT,Biotechnology,Healthcare,997745,1176060,963997504
ADNT,Auto Parts,Consumer Cyclical,812783,998710,3695260160
AAP,Specialty Retail,Consumer Cyclical,2366290,2468520,4217544448
WMS,Building Products & Equipment,Industrials,629549,560800,8935206912
ASX,Semiconductors,Technology,5168883,5373220,16857960448
ASIX,Chemicals,Basic Materials,168981,157370,991498688
AVK,Asset Management,Financial Services,83821,78310,408206848
ACM,Engineering & Construction,Industrials,917508,873850,11914994688
AEG,Insurance—Diversified,Financial Services,1588621,1516840,9810535424
AER,Rental & Leasing Services,Industrials,987400,937370,15174523904
HIVE,Capital Markets,Financial Services,1256904,2411730,421235232
AJRD,Aerospace & Defense,Industrials,825798,703800,4446584832
AES,Utilities—Diversified,Utilities,6175149,6174750,14102908928
AMG,Asset Management,Financial Services,218696,189880,5442722304
AFL,Insurance—Life,Financial Services,2308922,2022660,42410696704
MITT,REIT—Mortgage,Real Estate,80132,62100,123102976
AGCO,Farm & Heavy Construction Machinery,Industrials,617516,546530,9932981248
A,Diagnostics & Research,Healthcare,2017085,1943640,35244265472
AEM,Gold,Basic Materials,2579068,2030260,25018716160
ADC,REIT—Retail,Real Estate,889877,2121710,6160946176
AL,Rental & Leasing Services,Industrials,654116,734620,4657079296
APD,Specialty Chemicals,Basic Materials,793660,662670,65986084864
ALG,Farm & Heavy Construction Machinery,Industrials,53967,44910,2218144768
AGI,Gold,Basic Materials,2792391,2131580,4810634240
ALK,Airlines,Industrials,1543367,1390550,6803586048
AIN,Textile Manufacturing,Consumer Cyclical,157245,230420,2884751872
