,ticker,interval,price_type,next_forecast,next_true,mape,p,d,q,trained_on,rank
35,SAMA,1d,Close,10.399273939124651,10.40999984741211,0.001061794981668774,1,0,1,2023-08-16 05:26,1
20,MBTC,1d,Close,11.027266252866086,11.020000457763672,0.0012731044109790003,1,0,1,2023-08-16 05:26,2
31,RCAC,1d,Close,10.348021271220155,10.34000015258789,0.001432760655011529,2,0,1,2023-08-16 05:26,3
13,GDNR,1d,Close,10.654421448482461,10.630000114440918,0.004090029430709451,3,1,2,2023-08-16 05:26,4
16,IVCA,1d,Close,10.722980063941039,10.630000114440918,0.008932562403358607,0,1,1,2023-08-16 05:26,5
29,PPT,1d,Close,3.637782103731385,3.5899999141693115,0.012198033858608464,1,1,0,2023-08-16 05:26,6
3,AMT,1d,Close,188.08999633789065,187.00999450683597,0.02030601369446699,0,1,0,2023-08-16 05:26,7
27,OXY,1d,Close,62.619998931884766,58.119998931884766,0.03187533172964424,0,1,0,2023-08-16 05:26,8
10,CPE,1d,Close,30.9360833194193,31.450000762939453,0.038745778225091995,1,0,0,2023-08-16 05:26,9
6,BJRI,1d,Close,32.81999969482422,30.21999931335449,0.05116489588833336,0,1,0,2023-08-16 05:26,10
40,STM,1d,Close,47.18999862670898,44.95000076293945,0.05413994756031985,0,1,0,2023-08-16 05:26,11
32,RGCO,1d,Close,19.090000152587894,20.690000534057617,0.057539644164784284,0,1,0,2023-08-16 05:26,12
15,IMAX,1d,Close,19.360000610351562,17.59000015258789,0.060655308167786526,0,1,0,2023-08-16 05:26,13
0,AAT,1d,Close,21.090000152587898,18.81999969482422,0.06109329849455895,0,1,0,2023-08-16 05:26,14
11,FSS,1d,Close,61.30040093498742,54.709999084472656,0.06806944379548982,0,1,1,2023-08-16 05:26,15
26,OMGA,1d,Close,7.489098812651026,7.199999809265137,0.06909617172828866,2,0,1,2023-08-16 05:26,16
18,KALU,1d,Close,72.95395969886223,62.59999847412109,0.06998577926770648,1,1,0,2023-08-16 05:26,17
5,ARKO,1d,Close,8.239999771118164,7.130000114440918,0.07194718291881251,0,1,0,2023-08-16 05:26,18
21,MOFG,1d,Close,21.719999313354492,19.399999618530277,0.07669063128719412,0,1,0,2023-08-16 05:26,19
39,SRRK,1d,Close,6.8803011494257635,5.889999866485596,0.0800609629117203,0,1,1,2023-08-16 05:26,20
38,SLNG,1d,Close,4.289999961853028,3.859999895095825,0.0925969454635493,0,1,0,2023-08-16 05:26,21
8,BWB,1d,Close,10.039999008178711,9.109999656677246,0.09492455993076467,0,1,0,2023-08-16 05:26,22
33,ROP,1d,Close,497.29998779296875,452.7999877929688,0.10587509410323259,0,1,0,2023-08-16 05:26,23
41,TGT,1d,Close,122.13999938964842,131.16000366210938,0.11795657902861693,0,1,0,2023-08-16 05:26,24
34,ROST,1d,Close,114.37000274658205,100.9000015258789,0.12191508797201663,0,1,0,2023-08-16 05:26,25
23,NMRK,1d,Close,7.069999694824219,5.769999980926514,0.12261355915826748,0,1,0,2023-08-16 05:26,26
45,VRNA,1d,Close,18.43206125853829,21.8799991607666,0.13197176858805962,2,1,3,2023-08-16 05:26,27
