,ticker,interval,price_type,starting,ending,performance,trained_on,rank
97,WULF,1d,Close,2000000.0,4354398.828322558,117.7199414161279,2023-08-09 15:52,1
35,GLTO,1d,Close,2000000.0,4072655.3865492353,103.63276932746177,2023-08-09 15:52,2
31,FSLR,1d,Close,2000000.0,3948026.8634766852,97.40134317383426,2023-08-09 15:52,3
99,ZYME,1d,Close,2000000.0,3417991.1668748083,70.89955834374041,2023-08-09 15:52,4
83,SSRM,1d,Close,2000000.0,3211068.6047704923,60.55343023852462,2023-08-09 15:52,5
62,NATR,1d,Close,2000000.0,3077363.307324671,53.868165366233555,2023-08-09 15:52,6
44,ICHR,1d,Close,2000000.0,2967482.6233800673,48.37413116900336,2023-08-09 15:52,7
5,ATHM,1d,Close,2000000.0,2912880.3141808705,45.64401570904353,2023-08-09 15:52,8
16,CPA,1d,Close,2000000.0,2857302.3614851264,42.86511807425632,2023-08-09 15:52,9
87,THS,1d,Close,2000000.0,2851687.5389999007,42.58437694999503,2023-08-09 15:52,10
21,DXYN,1d,Close,2000000.0,2829405.860496084,41.470293024804214,2023-08-09 15:52,11
89,TTEK,1d,Close,2000000.0,2814024.4080267255,40.70122040133627,2023-08-09 15:52,12
49,KIRK,1d,Close,2000000.0,2780478.5194101934,39.02392597050967,2023-08-09 15:52,13
30,FROG,1d,Close,2000000.0,2771177.9544960824,38.55889772480412,2023-08-09 15:52,14
38,HDSN,1d,Close,2000000.0,2761266.264617071,38.06331323085355,2023-08-09 15:52,15
54,LICN,1d,Close,2000000.0,2718893.957572481,35.944697878624055,2023-08-09 15:52,16
1,AIRT,1d,Close,2000000.0,2718725.077889905,35.93625389449524,2023-08-09 15:52,17
65,NUVL,1d,Close,2000000.0,2712008.8127745944,35.60044063872972,2023-08-09 15:52,18
68,PAA,1d,Close,2000000.0,2675526.571444994,33.77632857224969,2023-08-09 15:52,19
46,IESC,1d,Close,2000000.0,2637870.931893539,31.89354659467696,2023-08-09 15:52,20
47,INDI,1d,Close,2000000.0,2627017.0993348286,31.350854966741426,2023-08-09 15:52,21
19,DSKE,1d,Close,2000000.0,2612450.5993962716,30.622529969813584,2023-08-09 15:52,22
95,WES,1d,Close,2000000.0,2604986.2592567597,30.249312962837983,2023-08-09 15:52,23
33,GAME,1d,Close,2000000.0,2556003.580377765,27.80017901888825,2023-08-09 15:52,24
15,CNX,1d,Close,2000000.0,2516260.456741736,25.81302283708679,2023-08-09 15:52,25
32,FSS,1d,Close,2000000.0,2471770.876177383,23.588543808869154,2023-08-09 15:52,26
60,MLR,1d,Close,2000000.0,2453350.077264642,22.667503863232096,2023-08-09 15:52,27
58,MGRM,1d,Close,2000000.0,2439393.877362782,21.969693868139107,2023-08-09 15:52,28
27,ENLT,1d,Close,2000000.0,2428550.3173543736,21.427515867718682,2023-08-09 15:52,29
11,CGTX,1d,Close,2000000.0,2395237.5881320196,19.761879406600983,2023-08-09 15:52,30
52,KWR,1d,Close,2000000.0,2373941.9319023956,18.697096595119778,2023-08-09 15:52,31
37,HBT,1d,Close,2000000.0,2370058.676957861,18.50293384789305,2023-08-09 15:52,32
2,AME,1d,Close,2000000.0,2368788.355403247,18.439417770162343,2023-08-09 15:52,33
18,DB,1d,Close,2000000.0,2365284.035785601,18.26420178928005,2023-08-09 15:52,34
79,SJM,1d,Close,2000000.0,2298655.5625666915,14.93277812833458,2023-08-09 15:52,35
22,EBIX,1d,Close,2000000.0,2285232.2090367656,14.26161045183828,2023-08-09 15:52,36
43,HSIC,1d,Close,2000000.0,2282748.400975377,14.137420048768842,2023-08-09 15:52,37
93,VNCE,1d,Close,2000000.0,2274737.0870092283,13.736854350461414,2023-08-09 15:52,38
71,PLRX,1d,Close,2000000.0,2256014.1772582093,12.800708862910467,2023-08-09 15:52,39
56,MAR,1d,Close,2000000.0,2247854.322502268,12.3927161251134,2023-08-09 15:52,40
85,TBLT,1d,Close,2000000.0,2244893.87793504,12.24469389675199,2023-08-09 15:52,41
64,NSIT,1d,Close,2000000.0,2240170.661415348,12.008533070767392,2023-08-09 15:52,42
45,IDT,1d,Close,2000000.0,2215359.0926242284,10.767954631211422,2023-08-09 15:52,43
6,AVT,1d,Close,2000000.0,2210597.8065616773,10.529890328083862,2023-08-09 15:52,44
92,VGR,1d,Close,2000000.0,2170772.3686050596,8.538618430252978,2023-08-09 15:52,45
55,LPTH,1d,Close,2000000.0,2165128.5540064517,8.256427700322586,2023-08-09 15:52,46
12,CHE,1d,Close,2000000.0,2153470.073346972,7.6735036673486,2023-08-09 15:52,47
39,HEQ,1d,Close,2000000.0,2123319.956064776,6.1659978032388025,2023-08-09 15:52,48
53,LEJU,1d,Close,2000000.0,2117993.9938550107,5.899699692750536,2023-08-09 15:52,49
74,QUBT,1d,Close,2000000.0,2094879.6501325334,4.743982506626669,2023-08-09 15:52,50
40,HLMN,1d,Close,2000000.0,2069499.9932881552,3.474999664407759,2023-08-09 15:52,51
