,Ticker,industry,sector,averageVolume,averageVolume10days,marketCap
409,DSX,Marine Shipping,Industrials,443191,308790,393816896
164,ZBRA,Communication Equipment,Technology,341150,349350,15237254144
2482,XLO,Biotechnology,Healthcare,23627,18820,73635240
1869,BWFG,Banks—Regional,Financial Services,22183,30130,195066352
782,PHG,Medical Devices,Healthcare,1106080,720970,19791177728
1144,REX,Specialty Chemicals,Basic Materials,81495,73820,606215424
2423,ELYM,Biotechnology,Healthcare,6886,10880,80980200
304,CIEN,Communication Equipment,Technology,1939427,1624450,6323807744
2704,SONM,Communication Equipment,Technology,317293,518390,48374568
1484,EMLD,Shell Companies,Financial Services,58836,158040,357011808
132,ARR,REIT—Mortgage,Real Estate,5125155,4642640,1038173952
1233,SWK,Tools & Accessories,Industrials,1600013,1376010,14164196352
3237,ERNA,Biotechnology,Healthcare,25386,7980,12121161
2892,WKEY,Semiconductors,Technology,788957,104580,32860960
2230,CWBC,Banks—Regional,Financial Services,4900,2250,108583872
381,DRS,Aerospace & Defense,Industrials,742078,1258410,4549230080
2294,FNWD,Banks—Regional,Financial Services,2906,3370,99896536
1202,SPG,REIT—Retail,Real Estate,1427059,1758350,43805380608
544,FLO,Packaged Foods,Consumer Defensive,1669931,1289590,5323689984
917,TLRY,Drug Manufacturers—Specialty & Generic,Healthcare,14341827,15121520,1142539776
2315,FUNC,Banks—Regional,Financial Services,15526,7600,96183648
1477,YETI,Leisure,Consumer Cyclical,1083527,1214770,3366317568
3131,CHNR,Pollution & Treatment Controls,Industrials,14570,3580,16395800
1435,METCB,Coking Coal,Basic Materials,183288,183288,386581152
857,PTGX,Biotechnology,Healthcare,1245570,1903830,1277276416
2252,EBMT,Banks—Regional,Financial Services,8914,8410,106400136
3141,AEHL,Building Products & Equipment,Industrials,181970,86490,15468325
1689,LMDX,Diagnostics & Research,Healthcare,636913,3085240,257224320
2406,SOTK,Scientific & Technical Instruments,Technology,8662,5140,84958544
1165,RAPT,Biotechnology,Healthcare,334047,333100,651524608
1110,ASTL,Steel,Basic Materials,681639,1275960,746725312
175,BCH,Banks—Regional,Financial Services,130055,83400,10556275712
30,ADI,Semiconductors,Technology,3415467,3180040,97440555008
3334,MINM,Communication Equipment,Technology,1572775,92530,8261118
468,NCNO,Software—Application,Technology,939363,991660,3373232640
1126,CRAI,Consulting Services,Industrials,36473,39580,718567424
1923,MACK,Biotechnology,Healthcare,104585,297540,175256624
847,HSKA,Medical Devices,Healthcare,364237,346363,1309546880
1082,PDS,Oil & Gas Drilling,Energy,55757,42500,678817472
3126,VJET,Computer Hardware,Technology,40229,109870,16168454
2356,LWAY,Packaged Foods,Consumer Defensive,10491,9650,91601248
686,HII,Aerospace & Defense,Industrials,326031,271450,9124997120
1351,NVEC,Semiconductors,Technology,48772,117340,449409536
1687,AFCG,REIT—Specialty,Real Estate,172595,165620,257547344
554,PLXS,Electronic Components,Technology,134136,112040,2714333440
1472,ARAY,Medical Devices,Healthcare,712345,1908910,361941792
647,FUL,Specialty Chemicals,Basic Materials,312590,485460,3856288000
941,STBA,Banks—Regional,Financial Services,173100,175410,1082116352
2169,IXHL,Drug Manufacturers—Specialty & Generic,Healthcare,3809,2790,118067192
1686,CMTL,Communication Equipment,Technology,345234,342310,257649072
