,ticker,interval,price_type,next_forecast,next_true,mape,p,d,q,trained_on,rank
14,DSX,1d,Close,3.680000066757202,3.680000066757202,0.0,1,0,0,2023-08-17 14:09,1
16,ELYM,1d,Close,2.9200000762939453,2.9200000762939453,0.0,3,0,0,2023-08-17 14:09,2
25,IXHL,1d,Close,1.899999976158142,1.899999976158142,0.0,1,0,2,2023-08-17 14:09,3
32,NVEC,1d,Close,89.37000274658203,89.37000274658203,0.0,1,0,1,2023-08-17 14:09,4
45,VJET,1d,Close,1.950000047683716,1.950000047683716,0.0,1,0,2,2023-08-17 14:09,5
17,EMLD,1d,Close,10.318182149472406,10.3100004196167,0.0027038605544956362,1,1,2,2023-08-17 14:09,6
28,MACK,1d,Close,12.510000228881836,12.520000457763672,0.008120693694410082,0,1,0,2023-08-17 14:09,7
15,EBMT,1d,Close,12.558381601746175,12.520000457763672,0.010641638124322592,1,1,0,2023-08-17 14:09,8
34,PHG,1d,Close,19.000000000000004,18.8799991607666,0.01958954518089378,0,1,0,2023-08-17 14:09,9
24,HSKA,1d,Close,116.62000274658205,117.0,0.021173602348145373,0,1,0,2023-08-17 14:09,10
3,ARAY,1d,Close,3.7399997711181636,3.690000057220459,0.02150256052508171,0,1,0,2023-08-17 14:09,11
12,CWBC,1d,Close,11.130000114440918,10.970000267028809,0.022533582656339556,0,1,0,2023-08-17 14:09,12
38,REX,1d,Close,33.47356494044358,32.939998626708984,0.024860939158622735,1,1,1,2023-08-17 14:09,13
44,TLRY,1d,Close,1.7199999094009397,1.6699999570846558,0.028805821950287587,0,1,0,2023-08-17 14:09,14
18,ERNA,1d,Close,2.126568018466351,2.0899999141693115,0.033539162566801735,0,1,1,2023-08-17 14:09,15
19,FLO,1d,Close,24.726962947397208,24.979999542236328,0.03625671842952473,0,1,1,2023-08-17 14:09,16
23,HII,1d,Close,204.30001831054688,201.3800048828125,0.036978716074620485,0,1,0,2023-08-17 14:09,17
11,CRAI,1d,Close,93.29000091552733,92.66999816894533,0.0394439180236187,0,1,0,2023-08-17 14:09,18
43,SWK,1d,Close,77.39208405649238,74.97000122070312,0.03968917517799806,1,1,1,2023-08-17 14:09,19
6,BCH,1d,Close,20.197273277211377,20.200000762939453,0.046108908411735094,0,1,1,2023-08-17 14:09,20
20,FNWD,1d,Close,21.70896530590057,21.81999969482422,0.06126173972272073,1,1,0,2023-08-17 14:09,21
46,WKEY,1d,Close,4.803288512318617,4.775000095367432,0.06148625527354619,3,1,2,2023-08-17 14:09,22
49,ZBRA,1d,Close,266.6200256347656,262.57000732421875,0.0658809354090075,0,1,0,2023-08-17 14:09,23
42,STBA,1d,Close,27.99999809265137,26.81999969482422,0.07102447060814482,0,1,0,2023-08-17 14:09,24
22,FUNC,1d,Close,13.500000953674318,13.020000457763672,0.07123890547692986,0,1,0,2023-08-17 14:09,25
21,FUL,1d,Close,64.96999740600586,62.93999862670898,0.07657394704676693,0,1,0,2023-08-17 14:09,26
47,XLO,1d,Close,2.9700000286102295,3.049999952316284,0.07848066257900921,0,1,0,2023-08-17 14:09,27
0,ADI,1d,Close,181.5800018310547,177.69000244140625,0.08333435976842998,0,1,0,2023-08-17 14:09,28
35,PLXS,1d,Close,90.84000396728517,90.68000030517578,0.09126661608737058,0,1,0,2023-08-17 14:09,29
27,LWAY,1d,Close,5.900000095367432,6.0,0.11880388763908238,0,1,0,2023-08-17 14:09,30
10,CMTL,1d,Close,12.03953743671401,11.479999542236328,0.12845459100007112,0,1,1,2023-08-17 14:09,31
8,CHNR,1d,Close,2.0799999237060547,2.009999990463257,0.13223169016535014,0,1,0,2023-08-17 14:09,32
41,SPG,1d,Close,108.91999816894536,105.1500015258789,0.13939249847221438,0,1,0,2023-08-17 14:09,33
37,RAPT,1d,Close,19.70000076293945,20.030000686645508,0.14031584165575386,0,1,0,2023-08-17 14:09,34
13,DRS,1d,Close,15.550001144409183,15.100000381469728,0.14469293585371765,0,1,0,2023-08-17 14:09,35
31,NCNO,1d,Close,27.799999237060547,27.489999771118164,0.16223653213765693,0,1,0,2023-08-17 14:09,36
