,ticker,interval,price_type,starting,ending,performance,trained_on,rank
13,DRS,1d,Close,2000000.0,3581970.1012457437,79.09850506228719,2023-08-17 14:06,1
27,LWAY,1d,Close,2000000.0,3081391.4972854108,54.06957486427054,2023-08-17 14:06,2
28,MACK,1d,Close,2000000.0,3054736.714633583,52.73683573167916,2023-08-17 14:06,3
25,IXHL,1d,Close,2000000.0,2893480.9213136416,44.67404606568208,2023-08-17 14:06,4
32,NVEC,1d,Close,2000000.0,2723231.798311165,36.16158991555825,2023-08-17 14:06,5
30,MINM,1d,Close,2000000.0,2690196.130789962,34.50980653949811,2023-08-17 14:06,6
47,XLO,1d,Close,2000000.0,2680893.2158733318,34.04466079366659,2023-08-17 14:06,7
31,NCNO,1d,Close,2000000.0,2497304.510993546,24.865225549677294,2023-08-17 14:06,8
36,PTGX,1d,Close,2000000.0,2472607.906822524,23.6303953411262,2023-08-17 14:06,9
34,PHG,1d,Close,2000000.0,2457992.43779359,22.899621889679505,2023-08-17 14:06,10
16,ELYM,1d,Close,2000000.0,2456250.005122274,22.812500256113708,2023-08-17 14:06,11
38,REX,1d,Close,2000000.0,2383234.117698938,19.161705884946905,2023-08-17 14:06,12
0,ADI,1d,Close,2000000.0,2382990.5081175053,19.149525405875266,2023-08-17 14:06,13
49,ZBRA,1d,Close,2000000.0,2333469.7085456774,16.673485427283868,2023-08-17 14:06,14
44,TLRY,1d,Close,2000000.0,2297629.9678697432,14.881498393487162,2023-08-17 14:06,15
9,CIEN,1d,Close,2000000.0,2264185.6332867593,13.209281664337963,2023-08-17 14:06,16
6,BCH,1d,Close,2000000.0,2215067.1870035958,10.753359350179787,2023-08-17 14:06,17
3,ARAY,1d,Close,2000000.0,2177431.729704271,8.871586485213554,2023-08-17 14:06,18
35,PLXS,1d,Close,2000000.0,2171845.3359685787,8.592266798428936,2023-08-17 14:06,19
39,SONM,1d,Close,2000000.0,2142576.639967155,7.128831998357758,2023-08-17 14:06,20
21,FUL,1d,Close,2000000.0,2092595.5454183016,4.62977727091508,2023-08-17 14:06,21
43,SWK,1d,Close,2000000.0,2042395.6817105752,2.119784085528762,2023-08-17 14:06,22
17,EMLD,1d,Close,2000000.0,2018404.939682048,0.9202469841024025,2023-08-17 14:06,23
22,FUNC,1d,Close,2000000.0,2018364.8979163326,0.9182448958166292,2023-08-17 14:06,24
26,LMDX,1d,Close,2000000.0,2010646.5201301193,0.5323260065059643,2023-08-17 14:06,25
23,HII,1d,Close,2000000.0,2002985.447711329,0.14927238556644878,2023-08-17 14:06,26
29,METCB,1d,Close,2000000.0,2000000.0,0.0,2023-08-17 14:06,27
48,YETI,1d,Close,2000000.0,1969414.0465854185,-1.5292976707290742,2023-08-17 14:06,28
37,RAPT,1d,Close,2000000.0,1962381.274301678,-1.8809362849161029,2023-08-17 14:06,29
19,FLO,1d,Close,2000000.0,1940443.468265588,-2.9778265867206035,2023-08-17 14:06,30
5,ASTL,1d,Close,2000000.0,1922931.3336527674,-3.853433317361633,2023-08-17 14:06,31
40,SOTK,1d,Close,2000000.0,1914919.1811785717,-4.254040941071417,2023-08-17 14:06,32
8,CHNR,1d,Close,2000000.0,1882196.3119344257,-5.890184403278713,2023-08-17 14:06,33
2,AFCG,1d,Close,2000000.0,1875464.208726527,-6.226789563673653,2023-08-17 14:06,34
1,AEHL,1d,Close,2000000.0,1842325.2026213978,-7.88373986893011,2023-08-17 14:06,35
11,CRAI,1d,Close,2000000.0,1796337.1676309274,-10.18314161845363,2023-08-17 14:06,36
10,CMTL,1d,Close,2000000.0,1796098.8721667444,-10.195056391662778,2023-08-17 14:06,37
14,DSX,1d,Close,2000000.0,1761085.1270149832,-11.94574364925084,2023-08-17 14:06,38
12,CWBC,1d,Close,2000000.0,1725330.9649462276,-13.73345175268862,2023-08-17 14:06,39
24,HSKA,1d,Close,2000000.0,1721909.7714441242,-13.904511427793793,2023-08-17 14:06,40
15,EBMT,1d,Close,2000000.0,1706160.3891923083,-14.691980540384586,2023-08-17 14:06,41
33,PDS,1d,Close,2000000.0,1701456.1185815574,-14.927194070922129,2023-08-17 14:06,42
41,SPG,1d,Close,2000000.0,1700849.1464201617,-14.957542678991913,2023-08-17 14:06,43
42,STBA,1d,Close,2000000.0,1680489.8341937093,-15.975508290314536,2023-08-17 14:06,44
7,BWFG,1d,Close,2000000.0,1607841.8716148848,-19.60790641925576,2023-08-17 14:06,45
46,WKEY,1d,Close,2000000.0,1563295.4931650283,-21.835225341748586,2023-08-17 14:06,46
4,ARR,1d,Close,2000000.0,1442805.379584477,-27.859731020776145,2023-08-17 14:06,47
45,VJET,1d,Close,2000000.0,1212631.7372606767,-39.36841313696617,2023-08-17 14:06,48
18,ERNA,1d,Close,2000000.0,1197336.5854109752,-40.13317072945124,2023-08-17 14:06,49
20,FNWD,1d,Close,2000000.0,1128560.2963143394,-43.57198518428303,2023-08-17 14:06,50
